Algorithm,R²,MAE,RMSE,MAPE (%)
Logistic / Linear,0.3409907950317902,6145.038697003398,8403.525572913077,669.7342378230077
Random Forest,0.8293636016852534,2551.137415574333,4276.137124784064,69.50824153127412
Gradient Boosting,0.8236384596437945,2761.270235432861,4347.281142229081,138.34917677842753
XGBoost,0.804709792137146,2888.1298828125,4574.63003968627,115.1985149844564
LightGBM,0.8181934597111228,2835.075888430902,4413.880152336868,198.1025363353358
SVM / SVR,-0.06852469423215224,6503.027145696473,10700.598456495953,1843.7614393675897
KNN,0.5192645846690904,4901.743214285715,7177.427995249398,406.9033177648431
