Algorithm,Accuracy,Precision (macro),Recall (macro),F1 (macro),F1 (weighted)
Logistic / Linear,0.3725,0.15046297477233886,0.231772534785239,0.18189261945711507,0.2947929129589471
Random Forest,0.36,0.38481195705534565,0.2283773356618612,0.19716358442678422,0.30424100320685193
Gradient Boosting,0.315,0.2086847106462792,0.20803250807565435,0.18672029713417465,0.27882779864657636
XGBoost,0.3075,0.20760315455369865,0.2073913924368501,0.19634450170587028,0.2842480639590934
LightGBM,0.325,0.2312818332912081,0.21465682749489207,0.19842404812677011,0.2933714612550463
SVM / SVR,0.3525,0.17524752475247524,0.21960828796128254,0.17591936267391706,0.282656474425438
KNN,0.3075,0.18791478612522522,0.2027693501809175,0.1838071675527027,0.2770218118123128
