Algorithm,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic / Linear,0.73,0.7317708333333334,0.9825174825174825,0.8388059701492537,0.6329898172003435
Random Forest,0.6975,0.72,0.9440559440559441,0.8169440242057489,0.5394736842105263
Gradient Boosting,0.6325,0.7278688524590164,0.7762237762237763,0.751269035532995,0.5221445221445222
XGBoost,0.6125,0.7147540983606557,0.7622377622377622,0.7377326565143824,0.5368052999631946
LightGBM,0.6175,0.7152103559870551,0.7727272727272727,0.7428571428571429,0.5337995337995338
SVM / SVR,0.715,0.7160804020100503,0.9965034965034965,0.8333333333333334,0.5851429272481904
KNN,0.6525,0.7181008902077152,0.8461538461538461,0.7768860353130016,0.5338608759661392
